"SECONDS";"PID";"VALUE";"UNITS";
"54445.5437098";"Presión absoluta en el colector de admisión";"3.7539179248870593";"psi";
"54445.5437098";"Sobrealimentación calculada";"-10.942030878688813";"psi";
"54445.7608978";"Presión absoluta en el colector de admisión";"3.7539179248870593";"psi";
"54445.7608978";"Sobrealimentación calculada";"-10.942030878688813";"psi";
"54445.9109851";"Consumo instantáneo de combustible (l/h)";"0.5501817165222255";"L/h";
"54445.9109851";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.1524197570918058";"hp";
"54445.9109851";"Power from MAF";"1.968";"hp";
"54445.9109851";"Velocidad del flujo del aire MAF";"1.6400000000000001";"g/sec";
"54446.0754459";"Revoluciones del motor";"841";"rpm";
"54446.0754459";"Revoluciones del motor x1000";"0.8";"rpm";
"54446.2106063";"Posición del pedal del acelerador D";"19.215686274509803";"%";
"54446.3344833";"Presión barométrica absoluta";"13.633547372658";"psi";
"54446.4678475";"Presión absoluta en el colector de admisión";"4.254440314872";"psi";
"54446.4678475";"Sobrealimentación calculada";"-9.379107057800226";"psi";
"54446.6079558";"Combustible usado";"0.00012007288845401176";"L";
"54446.6079558";"Combustible usado (Hoy)";"0.00012";"L";
"54446.6079558";"Combustible usado (Semana)";"0.00012";"L";
"54446.6079558";"Combustible usado (total)";"1.7848869999999997";"L";
"54446.6079558";"Consumo instantáneo de combustible (l/h)";"0.6239865809337435";"L/h";
"54446.6079558";"Coste de combustible";"0.00012127361733855188";"€";
"54446.6079558";"Coste de combustible (Hoy)";"0.0001212";"€";
"54446.6079558";"Coste de combustible (Semana)";"0.0001212";"€";
"54446.6079558";"Coste de combustible (total)";"1.80273587";"€";
"54446.6079558";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.441158992799243";"hp";
"54446.6079558";"Power from MAF";"2.232";"hp";
"54446.6079558";"Velocidad del flujo del aire MAF";"1.86";"g/sec";
"54446.8144229";"Revoluciones del motor";"811";"rpm";
"54446.8144229";"Revoluciones del motor x1000";"0.8";"rpm";
"54446.9386852";"Posición del pedal del acelerador D";"19.215686274509803";"%";
"54447.0986133";"Presión absoluta en el colector de admisión";"4.504701509864471";"psi";
"54447.0986133";"Sobrealimentación calculada";"-9.128845862807376";"psi";
"54447.2357124";"Combustible usado";"0.00022357780738048645";"L";
"54447.2357124";"Combustible usado (Hoy)";"0.000224";"L";
"54447.2357124";"Combustible usado (Semana)";"0.000224";"L";
"54447.2357124";"Combustible usado (total)";"1.7849909999999998";"L";
"54447.2357124";"Consumo instantáneo de combustible (l/h)";"0.5937936818563042";"L/h";
"54447.2357124";"Coste de combustible";"0.0002258135854542913";"€";
"54447.2357124";"Coste de combustible (Hoy)";"0.00022624";"€";
"54447.2357124";"Coste de combustible (Semana)";"0.00022624";"€";
"54447.2357124";"Coste de combustible (total)";"1.80284091";"€";
"54447.2357124";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.3230383963734735";"hp";
"54447.2357124";"Power from MAF";"2.124";"hp";
"54447.2357124";"Velocidad del flujo del aire MAF";"1.77";"g/sec";
"54447.3904124";"Revoluciones del motor";"800";"rpm";
"54447.3904124";"Revoluciones del motor x1000";"0.8";"rpm";
"54447.5398645";"Posición del pedal del acelerador D";"19.215686274509803";"%";
"54447.6884235";"Presión absoluta en el colector de admisión";"4.254440314872";"psi";
"54447.6884235";"Sobrealimentación calculada";"-9.379107057800226";"psi";
"54447.8391432";"Combustible usado";"0.0003163663746155997";"L";
"54447.8391432";"Combustible usado (Hoy)";"0.000317";"L";
"54447.8391432";"Combustible usado (Semana)";"0.000317";"L";
"54447.8391432";"Combustible usado (total)";"1.7850839999999997";"L";
"54447.8391432";"Consumo instantáneo de combustible (l/h)";"0.5535364830863854";"L/h";
"54447.8391432";"Coste de combustible";"0.0003195300383617557";"€";
"54447.8391432";"Coste de combustible (Hoy)";"0.00032017";"€";
"54447.8391432";"Coste de combustible (Semana)";"0.00032017";"€";
"54447.8391432";"Coste de combustible (total)";"1.80293484";"€";
"54447.8391432";"Potencia instantánea del motor (basada en el consumo de combustible)";"2.165544267805781";"hp";
"54447.8391432";"Power from MAF";"1.98";"hp";
"54447.8391432";"Velocidad del flujo del aire MAF";"1.6500000000000001";"g/sec";
"54447.9665949";"Revoluciones del motor";"796";"rpm";
"54447.9665949";"Revoluciones del motor x1000";"0.8";"rpm";
"54448.1154611";"Posición del pedal del acelerador D";"19.215686274509803";"%";
